Taxon,Genus,Tribe,Subfamily,Family,NCBITaxon,Order,Diet,Nesting,Foraging,DietMod,NestingMod,ForagingMod,DietModslashboth,DietModslashlower,DietModslashupper,DietModalllower,DietModallupper,DietModanyplant,DietModonlyplant,ForagingModalllower,ForagingModallupper,ForagingModanycanopy,NestingModalllower,NestingModallupper,NestingModanycanopy,DietModonlypred,DietModanypred,DietModonlyomni,DietModanyomni,ForagingModanyground,NestingModanyground
Stigmatomma_bellii,Stigmatomma,Stigmatomma,Amblyoponinae,Formicidae,Stigmatomma_bellii,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Stigmatomma_boltoni,Stigmatomma,Stigmatomma,Amblyoponinae,Formicidae,Stigmatomma_boltoni,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Stigmatomma_denticulatum,Stigmatomma,Stigmatomma,Amblyoponinae,Formicidae,Stigmatomma_denticulatum,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Stigmatomma_oregonense,Stigmatomma,Stigmatomma,Amblyoponinae,Formicidae,Stigmatomma_oregonense,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Stigmatomma_pallipes,Stigmatomma,Stigmatomma,Amblyoponinae,Formicidae,Stigmatomma_pallipes,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Stigmatomma_scrobiceps,Stigmatomma,Stigmatomma,Amblyoponinae,Formicidae,Bannapone_scrobiceps,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Stigmatomma_silvestrii,Stigmatomma,Stigmatomma,Amblyoponinae,Formicidae,Stigmatomma_silvestrii,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Stigmatomma_zwaluwenburgi,Stigmatomma,Stigmatomma,Amblyoponinae,Formicidae,Stigmatomma_zwaluwenburgi,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Xymmer_muticus,Xymmer,Xymmer,Amblyoponinae,Formicidae,Xymmer_muticus,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Aneuretus_simoni,Aneuretus,Aneuretus,Aneuretinae,Formicidae,Aneuretus_simoni,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Anonychomyrma_gilberti,Anonychomyrma,Anonychomyrma,Dolichoderinae,Formicidae,Anonychomyrma_gilberti,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Anonychomyrma_itinerans,Anonychomyrma,Anonychomyrma,Dolichoderinae,Formicidae,Anonychomyrma_itinerans,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Anonychomyrma_nitidiceps,Anonychomyrma,Anonychomyrma,Dolichoderinae,Formicidae,Anonychomyrma_nitidiceps,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Axinidris_mlalu,Axinidris,Axinidris,Dolichoderinae,Formicidae,Axinidris_mlalu,Hymenoptera,1,1,0&1,1,1,0&1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Axinidris_murielae,Axinidris,Axinidris,Dolichoderinae,Formicidae,Axinidris_murielae,Hymenoptera,1,1,0&1,1,1,0&1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Azteca_beltii,Azteca,Azteca,Dolichoderinae,Formicidae,Azteca_beltii,Hymenoptera,1,1,0&1,1,1,0&1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Azteca_instabilis,Azteca,Azteca,Dolichoderinae,Formicidae,Azteca_instabilis,Hymenoptera,1,1,0&1,1,1,0&1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Azteca_oecocordia,Azteca,Azteca,Dolichoderinae,Formicidae,Azteca_oecocordia,Hymenoptera,1,1,0&1,1,1,0&1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Azteca_ovaticeps,Azteca,Azteca,Dolichoderinae,Formicidae,Azteca_ovaticeps,Hymenoptera,1,1,0&1,1,1,0&1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
